ORIGIN,DEST,CITY,STATE_OR_REGION,TIME_ZONE,GMT
ADK,ADK,Adak,AK,Hawaii-Aleutian Standard Time,10
ADQ,ADQ,Kodiak,AK,Alaska Standard Time,9
ANC,ANC,Anchorage,AK,Alaska Standard Time,9
BET,BET,Bethel,AK,Alaska Standard Time,9
BRW,BRW,Barrow,AK,Alaska Standard Time,9
CDV,CDV,Cordova,AK,Alaska Standard Time,9
FAI,FAI,Fairbanks,AK,Alaska Standard Time,9
JNU,JNU,Juneau,AK,Alaska Standard Time,9
KTN,KTN,Ketchikan,AK,Alaska Standard Time,9
OME,OME,Nome,AK,Alaska Standard Time,9
OTZ,OTZ,Kotzebue,AK,Alaska Standard Time,9
PSG,PSG,Petersburg,AK,Alaska Standard Time,9
SCC,SCC,Prudhoe Bay,AK,Alaska Standard Time,9
SIT,SIT,Sitka,AK,Alaska Standard Time,9
WRG,WRG,Wrangell,AK,Alaska Standard Time,9
YAK,YAK,Yakutat,AK,Alaska Standard Time,9
BHM,BHM,Birmingham,AL,Central Standard Time,6
DHN,DHN,Dothan,AL,Central Standard Time,6
HSV,HSV,Huntsville,AL,Central Standard Time,6
MGM,MGM,Montgomery,AL,Central Standard Time,6
MOB,MOB,Mobile,AL,Central Standard Time,6
FSM,FSM,Fort Smith,AR,Central Standard Time,6
LIT,LIT,Little Rock,AR,Central Standard Time,6
TXK,TXK,Texarkana,AR,Central Standard Time,6
XNA,XNA,Fayetteville,AR,Central Standard Time,6
AZA,AZA,Mesa,AZ,Mountain Standard Time,7
FLG,FLG,Flagstaff,AZ,Mountain Standard Time,7
PHX,PHX,Phoenix,AZ,Mountain Standard Time,7
PRC,PRC,Prescott,AZ,Mountain Standard Time,7
TUS,TUS,Tucson,AZ,Mountain Standard Time,7
YUM,YUM,Yuma,AZ,Mountain Standard Time,7
ACV,ACV,Eureka,CA,Pacific Standard Time,8
BFL,BFL,Bakersfield,CA,Pacific Standard Time,8
BUR,BUR,Burbank,CA,Pacific Standard Time,8
CEC,CEC,Crescent City,CA,Pacific Standard Time,8
CIC,CIC,Chico,CA,Pacific Standard Time,8
CLD,CLD,Carlsbad,CA,Pacific Standard Time,8
FAT,FAT,Fresno,CA,Pacific Standard Time,8
IPL,IPL,El Centro,CA,Pacific Standard Time,8
IYK,IYK,Inyokern,CA,Pacific Standard Time,8
LAX,LAX,Los Angeles,CA,Pacific Standard Time,8
LGB,LGB,Long Beach,CA,Pacific Standard Time,8
MMH,MMH,Mammoth Lakes,CA,Pacific Standard Time,8
MOD,MOD,Modesto,CA,Pacific Standard Time,8
MRY,MRY,Monterey,CA,Pacific Standard Time,8
OAK,OAK,Oakland,CA,Pacific Standard Time,8
ONT,ONT,Ontario,CA,Pacific Standard Time,8
PSP,PSP,Palm Springs,CA,Pacific Standard Time,8
RDD,RDD,Redding,CA,Pacific Standard Time,8
SAN,SAN,San Diego,CA,Pacific Standard Time,8
SBA,SBA,Santa Barbara,CA,Pacific Standard Time,8
SBP,SBP,San Luis Obispo,CA,Pacific Standard Time,8
SCK,SCK,Stockton,CA,Pacific Standard Time,8
SFO,SFO,San Francisco,CA,Pacific Standard Time,8
SJC,SJC,San Jose,CA,Pacific Standard Time,8
SMF,SMF,Sacramento,CA,Pacific Standard Time,8
SMX,SMX,Santa Maria,CA,Pacific Standard Time,8
SNA,SNA,Orange County,CA,Pacific Standard Time,8
STS,STS,Santa Rosa,CA,Pacific Standard Time,8
ASE,ASE,Aspen,CO,Mountain Standard Time,7
COS,COS,Colorado Springs,CO,Mountain Standard Time,7
DEN,DEN,Denver,CO,Mountain Standard Time,7
DRO,DRO,Durango,CO,Mountain Standard Time,7
EGE,EGE,Vail,CO,Mountain Standard Time,7
GJT,GJT,Grand Junction,CO,Mountain Standard Time,7
GUC,GUC,Gunnison,CO,Mountain Standard Time,7
HDN,HDN,Hayden,CO,Mountain Standard Time,7
MTJ,MTJ,Montrose,CO,Mountain Standard Time,7
PUB,PUB,Pueblo,CO,Mountain Standard Time,7
TEX,TEX,Telluride,CO,Mountain Standard Time,7
BDL,BDL,Hartford,CT,Eastern Standard Time,5
HVN,HVN,New Haven,CT,Eastern Standard Time,5
DCA,DCA,Washington DC ,DC,Eastern Standard Time,5
IAD,IAD,Washington DC ,DC,Eastern Standard Time,5
DAB,DAB,Daytona Beach,FL,Eastern Standard Time,5
ECP,ECP,Panama City,FL,Central Standard Time,6
EYW,EYW,Key West,FL,Eastern Standard Time,5
FLL,FLL,Fort Lauderdale,FL,Eastern Standard Time,5
GNV,GNV,Gainesville,FL,Eastern Standard Time,5
JAX,JAX,Jacksonville,FL,Eastern Standard Time,5
MCO,MCO,Orlando,FL,Eastern Standard Time,5
MIA,MIA,Miami,FL,Eastern Standard Time,5
MLB,MLB,Melbourne,FL,Eastern Standard Time,5
PBI,PBI,West Palm Beach,FL,Eastern Standard Time,5
PGD,PGD,Punta Gorda,FL,Eastern Standard Time,5
PIE,PIE,St. Petersburg,FL,Eastern Standard Time,5
PNS,PNS,Pensacola,FL,Central Standard Time,6
RSW,RSW,Fort Myers,FL,Eastern Standard Time,5
SFB,SFB,Sanford,FL,Eastern Standard Time,5
SRQ,SRQ,Sarasota,FL,Eastern Standard Time,5
TLH,TLH,Tallahassee,FL,Eastern Standard Time,5
TPA,TPA,Tampa,FL,Eastern Standard Time,5
VPS,VPS,Fort Walton Beach,FL,Central Standard Time,6
ABY,ABY,Albany,GA,Eastern Standard Time,5
AGS,AGS,Augusta,GA,Eastern Standard Time,5
