,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN,DEST,DEP_TIME_BLK,CANCELLED,DIVERTED,DISTANCE,ORIGIN_CITY,ORIGIN_STATE_OR_REGION,ORIGIN_FULL_NAME,GMT_DEP,DEST_CITY,DEST_STATE_OR_REGION,DEST_FULL_NAME,GMT_ARR
423,1,2,AA,AA,N965NN,178,PBI,ORD,0600-0659,1.0,0.0,1143.0,West Palm Beach,FL,Florida,5,Chicago,IL,Illinois,6
424,1,2,AA,AA,N965NN,178,PBI,ORD,0600-0659,1.0,0.0,1143.0,West Palm Beach,FL,Florida,5,Chicago,IL,Illinois,6
430,1,2,AA,AA,N9015D,189,EGE,DFW,0700-0759,1.0,0.0,721.0,Vail,CO,Colorado,7,Dallas,TX,Texas,6
1087,1,2,OH,OH,N572NN,5103,CLT,PNS,1900-1959,1.0,0.0,488.0,Charlotte,NC,North Carolina,5,Pensacola,FL,Florida,6
2108,1,2,EV,EV,N17984,4187,JAN,IAH,0900-0959,1.0,0.0,351.0,Jackson,MS,Mississippi,6,Houston,TX,Texas,6
2110,1,2,EV,EV,N17984,4189,IAH,JAN,0700-0759,1.0,0.0,351.0,Houston,TX,Texas,6,Jackson,MS,Mississippi,6
2111,1,2,EV,EV,N16561,4190,IAH,ECP,1900-1959,1.0,0.0,572.0,Houston,TX,Texas,6,Panama City,FL,Florida,6
2115,1,2,EV,EV,N14977,4197,SHV,IAH,0700-0759,1.0,0.0,192.0,Shreveport,LA,Louisiana,6,Houston,TX,Texas,6
2117,1,2,EV,EV,N11535,4199,RDU,EWR,1600-1659,1.0,0.0,416.0,Raleigh,NC,North Carolina,5,Newark,NJ,New Jersey,5
2147,1,2,EV,EV,N11535,4228,EWR,RDU,1400-1459,1.0,0.0,416.0,Newark,NJ,New Jersey,5,Raleigh,NC,North Carolina,5
2159,1,2,EV,EV,N13992,4242,IAH,STL,1800-1859,1.0,0.0,667.0,Houston,TX,Texas,6,St. Louis,MO,Missouri,6
3327,1,2,OO,OO,N765SK,2960,LAX,SAN,0700-0759,1.0,0.0,109.0,Los Angeles,CA,California,8,San Diego,CA,California,8
3328,1,2,OO,OO,N765SK,2960,SAN,LAX,0900-0959,1.0,0.0,109.0,San Diego,CA,California,8,Los Angeles,CA,California,8
3387,1,2,OO,OO,N755EV,2999,BRO,DFW,1100-1159,1.0,0.0,482.0,Brownsville,TX,Texas,6,Dallas,TX,Texas,6
3388,1,2,OO,OO,N755EV,2999,DFW,BRO,0900-0959,1.0,0.0,482.0,Dallas,TX,Texas,6,Brownsville,TX,Texas,6
3452,1,2,OO,OO,N750EV,3048,OKC,ORD,1600-1659,1.0,0.0,693.0,Oklahoma City,OK,Oklahoma,6,Chicago,IL,Illinois,6
3453,1,2,OO,OO,N750EV,3048,OKC,ORD,1600-1659,1.0,0.0,693.0,Oklahoma City,OK,Oklahoma,6,Chicago,IL,Illinois,6
3454,1,2,OO,OO,N750EV,3048,ORD,OKC,1300-1359,1.0,0.0,693.0,Chicago,IL,Illinois,6,Oklahoma City,OK,Oklahoma,6
3455,1,2,OO,OO,N750EV,3048,ORD,OKC,1300-1359,1.0,0.0,693.0,Chicago,IL,Illinois,6,Oklahoma City,OK,Oklahoma,6
3528,1,2,OO,OO,N758EV,3098,MKE,CLT,0700-0759,1.0,0.0,651.0,Milwaukee,WI,Wisconsin,6,Charlotte,NC,North Carolina,5
3540,1,2,OO,OO,N930EV,3110,CHO,ORD,0900-0959,1.0,0.0,566.0,Charlottesville,VA,Virginia,5,Chicago,IL,Illinois,6
3541,1,2,OO,OO,N930EV,3110,CHO,ORD,0900-0959,1.0,0.0,566.0,Charlottesville,VA,Virginia,5,Chicago,IL,Illinois,6
3601,1,2,OO,OO,N706SK,3164,LAX,ELP,0900-0959,1.0,0.0,715.0,Los Angeles,CA,California,8,El Paso,TX,Texas,7
3602,1,2,OO,OO,N706SK,3165,ELP,LAX,1300-1359,1.0,0.0,715.0,El Paso,TX,Texas,7,Los Angeles,CA,California,8
3617,1,2,OO,OO,N755SK,3182,CRP,DFW,0800-0859,1.0,0.0,354.0,Corpus Christi,TX,Texas,6,Dallas,TX,Texas,6
3643,1,2,OO,OO,N748EV,3205,MFR,LAX,0600-0659,1.0,0.0,630.0,Medford,OR,Oregon,8,Los Angeles,CA,California,8
3664,1,2,OO,OO,N748SK,3251,FLG,PHX,0700-0759,1.0,0.0,119.0,Flagstaff,AZ,Arizona,7,Phoenix,AZ,Arizona,7
3722,1,2,OO,OO,N177SY,3351,ABQ,SFO,1500-1559,1.0,0.0,896.0,Albuquerque,NM,New Mexico,7,San Francisco,CA,California,8
3723,1,2,OO,OO,N177SY,3353,SFO,ABQ,1100-1159,1.0,0.0,896.0,San Francisco,CA,California,8,Albuquerque,NM,New Mexico,7
3747,1,2,OO,OO,N177SY,3390,SNA,SFO,0800-0859,1.0,0.0,372.0,Orange County,CA,California,8,San Francisco,CA,California,8
3943,1,2,OO,OO,N279SY,3620,LGA,CLE,0900-0959,1.0,0.0,419.0,New York,NY,New York,5,Cleveland,OH,Ohio,5
4013,1,2,OO,OO,N461SW,3688,GFK,MSP,0600-0659,1.0,0.0,284.0,Grand Forks,ND,North Dakota,6,Minneapolis,MN,Minnesota,6
4072,1,2,OO,OO,N279SY,3769,CLE,LGA,1300-1359,1.0,0.0,419.0,Cleveland,OH,Ohio,5,New York,NY,New York,5
4204,1,2,OO,OO,N767SK,4477,EGE,SLC,1300-1359,1.0,0.0,279.0,Vail,CO,Colorado,7,Salt Lake City,UT,Utah,7
4205,1,2,OO,OO,N767SK,4477,SLC,EGE,1100-1159,1.0,0.0,279.0,Salt Lake City,UT,Utah,7,Vail,CO,Colorado,7
4566,1,2,OO,OO,N784SK,5196,PSP,SFO,0600-0659,1.0,0.0,421.0,Palm Springs,CA,California,8,San Francisco,CA,California,8
4568,1,2,OO,OO,N979SW,5198,LAX,SAN,0900-0959,1.0,0.0,109.0,Los Angeles,CA,California,8,San Diego,CA,California,8
4629,1,2,OO,OO,N193SY,5252,MFR,SFO,0600-0659,1.0,0.0,329.0,Medford,OR,Oregon,8,San Francisco,CA,California,8
4743,1,2,OO,OO,N957SW,5352,ORD,SBN,0900-0959,1.0,0.0,84.0,Chicago,IL,Illinois,6,South Bend,IN,Indiana,5
4744,1,2,OO,OO,N957SW,5352,ORD,SBN,0900-0959,1.0,0.0,84.0,Chicago,IL,Illinois,6,South Bend,IN,Indiana,5
4834,1,2,OO,OO,N979SW,5443,SAN,LAX,1000-1059,1.0,0.0,109.0,San Diego,CA,California,8,Los Angeles,CA,California,8
4871,1,2,OO,OO,N793SK,5488,ASE,IAH,0700-0759,1.0,0.0,913.0,Aspen,CO,Colorado,7,Houston,TX,Texas,6
4925,1,2,OO,OO,N979SW,5545,MFR,LAX,0600-0659,1.0,0.0,630.0,Medford,OR,Oregon,8,Los Angeles,CA,California,8
5106,1,2,OO,OO,N947SW,5763,FAT,LAX,0900-0959,1.0,0.0,209.0,Fresno,CA,California,8,Los Angeles,CA,California,8
5109,1,2,OO,OO,N937SW,5767,MTJ,DEN,0900-0959,1.0,0.0,196.0,Montrose,CO,Colorado,7,Denver,CO,Colorado,7
5122,1,2,OO,OO,N947SW,5784,LAX,FAT,0700-0759,1.0,0.0,209.0,Los Angeles,CA,California,8,Fresno,CA,California,8
5150,1,2,OO,OO,N779SK,5829,ASE,ORD,0800-0859,1.0,0.0,1013.0,Aspen,CO,Colorado,7,Chicago,IL,Illinois,6
5151,1,2,OO,OO,N779SK,5829,ASE,ORD,0800-0859,1.0,0.0,1013.0,Aspen,CO,Colorado,7,Chicago,IL,Illinois,6
5172,1,2,OO,OO,N937SW,5857,DEN,MTJ,0700-0759,1.0,0.0,196.0,Denver,CO,Colorado,7,Montrose,CO,Colorado,7
5173,1,2,OO,OO,N957SW,5858,SBN,ORD,1100-1159,1.0,0.0,84.0,South Bend,IN,Indiana,5,Chicago,IL,Illinois,6
5174,1,2,OO,OO,N957SW,5858,SBN,ORD,1100-1159,1.0,0.0,84.0,South Bend,IN,Indiana,5,Chicago,IL,Illinois,6
5226,1,2,OO,OO,N880AS,5926,RAP,DEN,0700-0759,1.0,0.0,300.0,Rapid City,SD,South Dakota,7,Denver,CO,Colorado,7
5412,1,2,AA,AA,N979NN,2512,DTW,MIA,1000-1059,1.0,0.0,1145.0,Detroit,MI,Michigan,5,Miami,FL,Florida,5
5413,1,2,AA,AA,N832NN,2512,MIA,DTW,0700-0759,1.0,0.0,1145.0,Miami,FL,Florida,5,Detroit,MI,Michigan,5
5416,1,2,AA,AA,N882NN,2514,AUS,JFK,1200-1259,1.0,0.0,1521.0,Austin,TX,Texas,6,New York,NY,New York,5
5417,1,2,AA,AA,N860NN,2514,JFK,AUS,0800-0859,1.0,0.0,1521.0,New York,NY,New York,5,Austin,TX,Texas,6
5473,1,2,AA,AA,N932AN,2564,DFW,ABQ,2200-2259,1.0,0.0,569.0,Dallas,TX,Texas,6,Albuquerque,NM,New Mexico,7
5632,1,2,AA,AA,N994NN,1381,MIA,PHX,0600-0659,1.0,0.0,1972.0,Miami,FL,Florida,5,Phoenix,AZ,Arizona,7
5673,1,2,AA,AA,N861NN,1421,ABQ,DFW,0700-0759,1.0,0.0,569.0,Albuquerque,NM,New Mexico,7,Dallas,TX,Texas,6
5680,1,2,AA,AA,N930AN,1431,ABQ,ORD,0600-0659,1.0,0.0,1118.0,Albuquerque,NM,New Mexico,7,Chicago,IL,Illinois,6
5681,1,2,AA,AA,N930AN,1431,ABQ,ORD,0600-0659,1.0,0.0,1118.0,Albuquerque,NM,New Mexico,7,Chicago,IL,Illinois,6
5948,1,2,MQ,MQ,N939AE,3900,GRB,ORD,1400-1459,1.0,0.0,174.0,Green Bay,WI,Wisconsin,6,Chicago,IL,Illinois,6
